"Time (CET)","Day-ahead Total Load Forecast [MW] - Cyprus (CY)","Actual Total Load [MW] - Cyprus (CY)"
"31.10.2019 18:00 - 31.10.2019 18:30","N/A","566"
"31.10.2019 18:30 - 31.10.2019 19:00","N/A","553"
"31.10.2019 19:00 - 31.10.2019 19:30","N/A","542"
"31.10.2019 19:30 - 31.10.2019 20:00","N/A","523"
"31.10.2019 20:00 - 31.10.2019 20:30","N/A","502"
"31.10.2019 20:30 - 31.10.2019 21:00","N/A","478"
"31.10.2019 21:00 - 31.10.2019 21:30","N/A","452"
"31.10.2019 21:30 - 31.10.2019 22:00","N/A","429"
"31.10.2019 22:00 - 31.10.2019 22:30","N/A","405"
"31.10.2019 22:30 - 31.10.2019 23:00","N/A","381"
"31.10.2019 23:00 - 31.10.2019 23:30","N/A","360"
"31.10.2019 23:30 - 01.11.2019 00:00","N/A","345"
"01.11.2019 00:00 - 01.11.2019 00:30","N/A","336"
"01.11.2019 00:30 - 01.11.2019 01:00","N/A","328"
"01.11.2019 01:00 - 01.11.2019 01:30","N/A","324"
"01.11.2019 01:30 - 01.11.2019 02:00","N/A","320"
"01.11.2019 02:00 - 01.11.2019 02:30","N/A","317"
"01.11.2019 02:30 - 01.11.2019 03:00","N/A","315"
"01.11.2019 03:00 - 01.11.2019 03:30","N/A","318"
"01.11.2019 03:30 - 01.11.2019 04:00","N/A","321"
"01.11.2019 04:00 - 01.11.2019 04:30","N/A","328"
"01.11.2019 04:30 - 01.11.2019 05:00","N/A","345"
"01.11.2019 05:00 - 01.11.2019 05:30","N/A","359"
"01.11.2019 05:30 - 01.11.2019 06:00","N/A","393"
"01.11.2019 06:00 - 01.11.2019 06:30","N/A","415"
"01.11.2019 06:30 - 01.11.2019 07:00","N/A","432"
"01.11.2019 07:00 - 01.11.2019 07:30","N/A","442"
"01.11.2019 07:30 - 01.11.2019 08:00","N/A","451"
"01.11.2019 08:00 - 01.11.2019 08:30","N/A","456"
"01.11.2019 08:30 - 01.11.2019 09:00","N/A","456"
"01.11.2019 09:00 - 01.11.2019 09:30","N/A","455"
"01.11.2019 09:30 - 01.11.2019 10:00","N/A","459"
"01.11.2019 10:00 - 01.11.2019 10:30","N/A","457"
"01.11.2019 10:30 - 01.11.2019 11:00","N/A","467"
"01.11.2019 11:00 - 01.11.2019 11:30","N/A","469"
"01.11.2019 11:30 - 01.11.2019 12:00","N/A","472"
"01.11.2019 12:00 - 01.11.2019 12:30","N/A","476"
"01.11.2019 12:30 - 01.11.2019 13:00","N/A","479"
"01.11.2019 13:00 - 01.11.2019 13:30","N/A","481"
"01.11.2019 13:30 - 01.11.2019 14:00","N/A","490"
"01.11.2019 14:00 - 01.11.2019 14:30","N/A","493"
"01.11.2019 14:30 - 01.11.2019 15:00","N/A","494"
"01.11.2019 15:00 - 01.11.2019 15:30","N/A","497"
"01.11.2019 15:30 - 01.11.2019 16:00","N/A","505"
"01.11.2019 16:00 - 01.11.2019 16:30","N/A","524"
"01.11.2019 16:30 - 01.11.2019 17:00","N/A","567"
"01.11.2019 17:00 - 01.11.2019 17:30","N/A","568"
"01.11.2019 17:30 - 01.11.2019 18:00","N/A","565"
"01.11.2019 18:00 - 01.11.2019 18:30","N/A","555"
"01.11.2019 18:30 - 01.11.2019 19:00","N/A","545"
"01.11.2019 19:00 - 01.11.2019 19:30","N/A","530"
"01.11.2019 19:30 - 01.11.2019 20:00","N/A","514"
"01.11.2019 20:00 - 01.11.2019 20:30","N/A","492"
"01.11.2019 20:30 - 01.11.2019 21:00","N/A","468"
"01.11.2019 21:00 - 01.11.2019 21:30","N/A","447"
"01.11.2019 21:30 - 01.11.2019 22:00","N/A","428"
"01.11.2019 22:00 - 01.11.2019 22:30","N/A","404"
"01.11.2019 22:30 - 01.11.2019 23:00","N/A","387"
"01.11.2019 23:00 - 01.11.2019 23:30","N/A","371"
"01.11.2019 23:30 - 02.11.2019 00:00","N/A","354"
"02.11.2019 00:00 - 02.11.2019 00:30","N/A","343"
"02.11.2019 00:30 - 02.11.2019 01:00","N/A","331"
"02.11.2019 01:00 - 02.11.2019 01:30","N/A","324"
"02.11.2019 01:30 - 02.11.2019 02:00","N/A","322"
"02.11.2019 02:00 - 02.11.2019 02:30","N/A","318"
"02.11.2019 02:30 - 02.11.2019 03:00","N/A","309"
"02.11.2019 03:00 - 02.11.2019 03:30","N/A","310"
"02.11.2019 03:30 - 02.11.2019 04:00","N/A","316"
"02.11.2019 04:00 - 02.11.2019 04:30","N/A","322"
"02.11.2019 04:30 - 02.11.2019 05:00","N/A","332"
"02.11.2019 05:00 - 02.11.2019 05:30","N/A","331"
"02.11.2019 05:30 - 02.11.2019 06:00","N/A","347"
"02.11.2019 06:00 - 02.11.2019 06:30","N/A","361"
"02.11.2019 06:30 - 02.11.2019 07:00","N/A","378"
"02.11.2019 07:00 - 02.11.2019 07:30","N/A","385"
"02.11.2019 07:30 - 02.11.2019 08:00","N/A","397"
"02.11.2019 08:00 - 02.11.2019 08:30","N/A","405"
"02.11.2019 08:30 - 02.11.2019 09:00","N/A","403"
"02.11.2019 09:00 - 02.11.2019 09:30","N/A","405"
"02.11.2019 09:30 - 02.11.2019 10:00","N/A","399"
"02.11.2019 10:00 - 02.11.2019 10:30","N/A","402"
"02.11.2019 10:30 - 02.11.2019 11:00","N/A","408"
"02.11.2019 11:00 - 02.11.2019 11:30","N/A","408"
"02.11.2019 11:30 - 02.11.2019 12:00","N/A","412"
"02.11.2019 12:00 - 02.11.2019 12:30","N/A","421"
"02.11.2019 12:30 - 02.11.2019 13:00","N/A","423"
"02.11.2019 13:00 - 02.11.2019 13:30","N/A","422"
"02.11.2019 13:30 - 02.11.2019 14:00","N/A","427"
"02.11.2019 14:00 - 02.11.2019 14:30","N/A","432"
"02.11.2019 14:30 - 02.11.2019 15:00","N/A","440"
"02.11.2019 15:00 - 02.11.2019 15:30","N/A","450"
"02.11.2019 15:30 - 02.11.2019 16:00","N/A","465"
"02.11.2019 16:00 - 02.11.2019 16:30","N/A","490"
"02.11.2019 16:30 - 02.11.2019 17:00","N/A","526"
"02.11.2019 17:00 - 02.11.2019 17:30","N/A","528"
"02.11.2019 17:30 - 02.11.2019 18:00","N/A","523"
"02.11.2019 18:00 - 02.11.2019 18:30","N/A","516"
"02.11.2019 18:30 - 02.11.2019 19:00","N/A","507"
"02.11.2019 19:00 - 02.11.2019 19:30","N/A","495"
"02.11.2019 19:30 - 02.11.2019 20:00","N/A","480"
"02.11.2019 20:00 - 02.11.2019 20:30","N/A","464"
"02.11.2019 20:30 - 02.11.2019 21:00","N/A","446"
"02.11.2019 21:00 - 02.11.2019 21:30","N/A","432"
"02.11.2019 21:30 - 02.11.2019 22:00","N/A","413"
"02.11.2019 22:00 - 02.11.2019 22:30","N/A","394"
"02.11.2019 22:30 - 02.11.2019 23:00","N/A","375"
"02.11.2019 23:00 - 02.11.2019 23:30","N/A","357"
"02.11.2019 23:30 - 03.11.2019 00:00","N/A","347"
"03.11.2019 00:00 - 03.11.2019 00:30","N/A","336"
"03.11.2019 00:30 - 03.11.2019 01:00","N/A","326"
"03.11.2019 01:00 - 03.11.2019 01:30","N/A","320"
"03.11.2019 01:30 - 03.11.2019 02:00","N/A","317"
"03.11.2019 02:00 - 03.11.2019 02:30","N/A","313"
"03.11.2019 02:30 - 03.11.2019 03:00","N/A","310"
"03.11.2019 03:00 - 03.11.2019 03:30","N/A","310"
"03.11.2019 03:30 - 03.11.2019 04:00","N/A","310"
"03.11.2019 04:00 - 03.11.2019 04:30","N/A","314"
"03.11.2019 04:30 - 03.11.2019 05:00","N/A","320"
"03.11.2019 05:00 - 03.11.2019 05:30","N/A","312"
"03.11.2019 05:30 - 03.11.2019 06:00","N/A","322"
"03.11.2019 06:00 - 03.11.2019 06:30","N/A","333"
"03.11.2019 06:30 - 03.11.2019 07:00","N/A","348"
"03.11.2019 07:00 - 03.11.2019 07:30","N/A","360"
"03.11.2019 07:30 - 03.11.2019 08:00","N/A","367"
"03.11.2019 08:00 - 03.11.2019 08:30","N/A","374"
"03.11.2019 08:30 - 03.11.2019 09:00","N/A","372"
"03.11.2019 09:00 - 03.11.2019 09:30","N/A","371"
"03.11.2019 09:30 - 03.11.2019 10:00","N/A","363"
"03.11.2019 10:00 - 03.11.2019 10:30","N/A","370"
"03.11.2019 10:30 - 03.11.2019 11:00","N/A","379"
"03.11.2019 11:00 - 03.11.2019 11:30","N/A","385"
"03.11.2019 11:30 - 03.11.2019 12:00","N/A","386"
"03.11.2019 12:00 - 03.11.2019 12:30","N/A","382"
"03.11.2019 12:30 - 03.11.2019 13:00","N/A","371"
"03.11.2019 13:00 - 03.11.2019 13:30","N/A","366"
"03.11.2019 13:30 - 03.11.2019 14:00","N/A","374"
"03.11.2019 14:00 - 03.11.2019 14:30","N/A","384"
"03.11.2019 14:30 - 03.11.2019 15:00","N/A","393"
"03.11.2019 15:00 - 03.11.2019 15:30","N/A","408"
"03.11.2019 15:30 - 03.11.2019 16:00","N/A","424"
"03.11.2019 16:00 - 03.11.2019 16:30","N/A","450"
"03.11.2019 16:30 - 03.11.2019 17:00","N/A","496"
"03.11.2019 17:00 - 03.11.2019 17:30","N/A","505"
"03.11.2019 17:30 - 03.11.2019 18:00","N/A","506"
"03.11.2019 18:00 - 03.11.2019 18:30","N/A","505"
"03.11.2019 18:30 - 03.11.2019 19:00","N/A","497"
"03.11.2019 19:00 - 03.11.2019 19:30","N/A","486"
"03.11.2019 19:30 - 03.11.2019 20:00","N/A","478"
"03.11.2019 20:00 - 03.11.2019 20:30","N/A","461"
"03.11.2019 20:30 - 03.11.2019 21:00","N/A","443"
"03.11.2019 21:00 - 03.11.2019 21:30","N/A","423"
"03.11.2019 21:30 - 03.11.2019 22:00","N/A","400"
"03.11.2019 22:00 - 03.11.2019 22:30","N/A","379"
"03.11.2019 22:30 - 03.11.2019 23:00","N/A","360"
"03.11.2019 23:00 - 03.11.2019 23:30","N/A","343"
"03.11.2019 23:30 - 04.11.2019 00:00","N/A","330"
"04.11.2019 00:00 - 04.11.2019 00:30","N/A","320"
"04.11.2019 00:30 - 04.11.2019 01:00","N/A","311"
"04.11.2019 01:00 - 04.11.2019 01:30","N/A","306"
"04.11.2019 01:30 - 04.11.2019 02:00","N/A","304"
"04.11.2019 02:00 - 04.11.2019 02:30","N/A","301"
"04.11.2019 02:30 - 04.11.2019 03:00","N/A","300"
"04.11.2019 03:00 - 04.11.2019 03:30","N/A","302"
"04.11.2019 03:30 - 04.11.2019 04:00","N/A","305"
"04.11.2019 04:00 - 04.11.2019 04:30","N/A","315"
"04.11.2019 04:30 - 04.11.2019 05:00","N/A","332"
"04.11.2019 05:00 - 04.11.2019 05:30","N/A","343"
"04.11.2019 05:30 - 04.11.2019 06:00","N/A","381"
"04.11.2019 06:00 - 04.11.2019 06:30","N/A","406"
"04.11.2019 06:30 - 04.11.2019 07:00","N/A","416"
"04.11.2019 07:00 - 04.11.2019 07:30","N/A","427"
"04.11.2019 07:30 - 04.11.2019 08:00","N/A","434"
"04.11.2019 08:00 - 04.11.2019 08:30","N/A","439"
"04.11.2019 08:30 - 04.11.2019 09:00","N/A","438"
"04.11.2019 09:00 - 04.11.2019 09:30","N/A","440"
"04.11.2019 09:30 - 04.11.2019 10:00","N/A","442"
"04.11.2019 10:00 - 04.11.2019 10:30","N/A","441"
"04.11.2019 10:30 - 04.11.2019 11:00","N/A","440"
"04.11.2019 11:00 - 04.11.2019 11:30","N/A","445"
"04.11.2019 11:30 - 04.11.2019 12:00","N/A","446"
"04.11.2019 12:00 - 04.11.2019 12:30","N/A","450"
"04.11.2019 12:30 - 04.11.2019 13:00","N/A","454"
"04.11.2019 13:00 - 04.11.2019 13:30","N/A","458"
"04.11.2019 13:30 - 04.11.2019 14:00","N/A","463"
"04.11.2019 14:00 - 04.11.2019 14:30","N/A","467"
"04.11.2019 14:30 - 04.11.2019 15:00","N/A","475"
"04.11.2019 15:00 - 04.11.2019 15:30","N/A","484"
"04.11.2019 15:30 - 04.11.2019 16:00","N/A","498"
"04.11.2019 16:00 - 04.11.2019 16:30","N/A","520"
"04.11.2019 16:30 - 04.11.2019 17:00","N/A","557"
"04.11.2019 17:00 - 04.11.2019 17:30","N/A","560"
"04.11.2019 17:30 - 04.11.2019 18:00","N/A","557"
"04.11.2019 18:00 - 04.11.2019 18:30","N/A","550"
"04.11.2019 18:30 - 04.11.2019 19:00","N/A","539"
"04.11.2019 19:00 - 04.11.2019 19:30","N/A","530"
"04.11.2019 19:30 - 04.11.2019 20:00","N/A","513"
"04.11.2019 20:00 - 04.11.2019 20:30","N/A","488"
"04.11.2019 20:30 - 04.11.2019 21:00","N/A","465"
"04.11.2019 21:00 - 04.11.2019 21:30","N/A","440"
"04.11.2019 21:30 - 04.11.2019 22:00","N/A","413"
"04.11.2019 22:00 - 04.11.2019 22:30","N/A","391"
"04.11.2019 22:30 - 04.11.2019 23:00","N/A","368"
"04.11.2019 23:00 - 04.11.2019 23:30","N/A","351"
"04.11.2019 23:30 - 05.11.2019 00:00","N/A","335"
"05.11.2019 00:00 - 05.11.2019 00:30","N/A","325"
"05.11.2019 00:30 - 05.11.2019 01:00","N/A","316"
"05.11.2019 01:00 - 05.11.2019 01:30","N/A","312"
"05.11.2019 01:30 - 05.11.2019 02:00","N/A","309"
"05.11.2019 02:00 - 05.11.2019 02:30","N/A","307"
"05.11.2019 02:30 - 05.11.2019 03:00","N/A","305"
"05.11.2019 03:00 - 05.11.2019 03:30","N/A","306"
"05.11.2019 03:30 - 05.11.2019 04:00","N/A","310"
"05.11.2019 04:00 - 05.11.2019 04:30","N/A","320"
"05.11.2019 04:30 - 05.11.2019 05:00","N/A","337"
"05.11.2019 05:00 - 05.11.2019 05:30","N/A","354"
"05.11.2019 05:30 - 05.11.2019 06:00","N/A","N/A"
"05.11.2019 06:00 - 05.11.2019 06:30","N/A","412"
"05.11.2019 06:30 - 05.11.2019 07:00","N/A","432"
"05.11.2019 07:00 - 05.11.2019 07:30","N/A","444"
"05.11.2019 07:30 - 05.11.2019 08:00","N/A","451"
"05.11.2019 08:00 - 05.11.2019 08:30","N/A","448"
"05.11.2019 08:30 - 05.11.2019 09:00","N/A","451"
"05.11.2019 09:00 - 05.11.2019 09:30","N/A","451"
"05.11.2019 09:30 - 05.11.2019 10:00","N/A","452"
"05.11.2019 10:00 - 05.11.2019 10:30","N/A","456"
"05.11.2019 10:30 - 05.11.2019 11:00","N/A","461"
"05.11.2019 11:00 - 05.11.2019 11:30","N/A","463"
"05.11.2019 11:30 - 05.11.2019 12:00","N/A","463"
"05.11.2019 12:00 - 05.11.2019 12:30","N/A","468"
"05.11.2019 12:30 - 05.11.2019 13:00","N/A","472"
"05.11.2019 13:00 - 05.11.2019 13:30","N/A","473"
"05.11.2019 13:30 - 05.11.2019 14:00","N/A","N/A"
"05.11.2019 14:00 - 05.11.2019 14:30","N/A","490"
"05.11.2019 14:30 - 05.11.2019 15:00","N/A","493"
"05.11.2019 15:00 - 05.11.2019 15:30","N/A","503"
"05.11.2019 15:30 - 05.11.2019 16:00","N/A","509"
"05.11.2019 16:00 - 05.11.2019 16:30","N/A","532"
"05.11.2019 16:30 - 05.11.2019 17:00","N/A","571"
"05.11.2019 17:00 - 05.11.2019 17:30","N/A","563"
"05.11.2019 17:30 - 05.11.2019 18:00","N/A","560"
"05.11.2019 18:00 - 05.11.2019 18:30","N/A","550"
"05.11.2019 18:30 - 05.11.2019 19:00","N/A","540"
"05.11.2019 19:00 - 05.11.2019 19:30","N/A","524"
"05.11.2019 19:30 - 05.11.2019 20:00","N/A","507"
"05.11.2019 20:00 - 05.11.2019 20:30","N/A","488"
"05.11.2019 20:30 - 05.11.2019 21:00","N/A","462"
"05.11.2019 21:00 - 05.11.2019 21:30","N/A","437"
"05.11.2019 21:30 - 05.11.2019 22:00","N/A","414"
"05.11.2019 22:00 - 05.11.2019 22:30","N/A","387"
"05.11.2019 22:30 - 05.11.2019 23:00","N/A","368"
"05.11.2019 23:00 - 05.11.2019 23:30","N/A","349"
"05.11.2019 23:30 - 06.11.2019 00:00","N/A","335"
"06.11.2019 00:00 - 06.11.2019 00:30","N/A","323"
"06.11.2019 00:30 - 06.11.2019 01:00","N/A","314"
"06.11.2019 01:00 - 06.11.2019 01:30","N/A","307"
"06.11.2019 01:30 - 06.11.2019 02:00","N/A","303"
"06.11.2019 02:00 - 06.11.2019 02:30","N/A","302"
"06.11.2019 02:30 - 06.11.2019 03:00","N/A","301"
"06.11.2019 03:00 - 06.11.2019 03:30","N/A","303"
"06.11.2019 03:30 - 06.11.2019 04:00","N/A","309"
"06.11.2019 04:00 - 06.11.2019 04:30","N/A","317"
"06.11.2019 04:30 - 06.11.2019 05:00","N/A","334"
"06.11.2019 05:00 - 06.11.2019 05:30","N/A","352"
"06.11.2019 05:30 - 06.11.2019 06:00","N/A","389"
"06.11.2019 06:00 - 06.11.2019 06:30","N/A","413"
"06.11.2019 06:30 - 06.11.2019 07:00","N/A","430"
"06.11.2019 07:00 - 06.11.2019 07:30","N/A","442"
"06.11.2019 07:30 - 06.11.2019 08:00","N/A","449"
"06.11.2019 08:00 - 06.11.2019 08:30","N/A","451"
"06.11.2019 08:30 - 06.11.2019 09:00","N/A","452"
"06.11.2019 09:00 - 06.11.2019 09:30","N/A","454"
"06.11.2019 09:30 - 06.11.2019 10:00","N/A","456"
"06.11.2019 10:00 - 06.11.2019 10:30","N/A","452"
"06.11.2019 10:30 - 06.11.2019 11:00","N/A","457"
"06.11.2019 11:00 - 06.11.2019 11:30","N/A","459"
"06.11.2019 11:30 - 06.11.2019 12:00","N/A","464"
"06.11.2019 12:00 - 06.11.2019 12:30","N/A","466"
"06.11.2019 12:30 - 06.11.2019 13:00","N/A","470"
"06.11.2019 13:00 - 06.11.2019 13:30","N/A","472"
"06.11.2019 13:30 - 06.11.2019 14:00","N/A","478"
"06.11.2019 14:00 - 06.11.2019 14:30","N/A","479"
"06.11.2019 14:30 - 06.11.2019 15:00","N/A","486"
"06.11.2019 15:00 - 06.11.2019 15:30","N/A","494"
"06.11.2019 15:30 - 06.11.2019 16:00","N/A","508"
"06.11.2019 16:00 - 06.11.2019 16:30","N/A","531"
"06.11.2019 16:30 - 06.11.2019 17:00","N/A","564"
"06.11.2019 17:00 - 06.11.2019 17:30","N/A","568"
"06.11.2019 17:30 - 06.11.2019 18:00","N/A","564"
"06.11.2019 18:00 - 06.11.2019 18:30","N/A","555"
"06.11.2019 18:30 - 06.11.2019 19:00","N/A","541"
"06.11.2019 19:00 - 06.11.2019 19:30","N/A","527"
"06.11.2019 19:30 - 06.11.2019 20:00","N/A","507"
"06.11.2019 20:00 - 06.11.2019 20:30","N/A","490"
"06.11.2019 20:30 - 06.11.2019 21:00","N/A","467"
"06.11.2019 21:00 - 06.11.2019 21:30","N/A","441"
"06.11.2019 21:30 - 06.11.2019 22:00","N/A","418"
"06.11.2019 22:00 - 06.11.2019 22:30","N/A","395"
"06.11.2019 22:30 - 06.11.2019 23:00","N/A","372"
"06.11.2019 23:00 - 06.11.2019 23:30","N/A","353"
"06.11.2019 23:30 - 07.11.2019 00:00","N/A","336"
"07.11.2019 00:00 - 07.11.2019 00:30","N/A","325"
"07.11.2019 00:30 - 07.11.2019 01:00","N/A","319"
"07.11.2019 01:00 - 07.11.2019 01:30","N/A","314"
"07.11.2019 01:30 - 07.11.2019 02:00","N/A","309"
"07.11.2019 02:00 - 07.11.2019 02:30","N/A","306"
"07.11.2019 02:30 - 07.11.2019 03:00","N/A","306"
"07.11.2019 03:00 - 07.11.2019 03:30","N/A","307"
"07.11.2019 03:30 - 07.11.2019 04:00","N/A","311"
"07.11.2019 04:00 - 07.11.2019 04:30","N/A","321"
"07.11.2019 04:30 - 07.11.2019 05:00","N/A","337"
"07.11.2019 05:00 - 07.11.2019 05:30","N/A","355"
"07.11.2019 05:30 - 07.11.2019 06:00","N/A","390"
"07.11.2019 06:00 - 07.11.2019 06:30","N/A","420"
"07.11.2019 06:30 - 07.11.2019 07:00","N/A","433"
"07.11.2019 07:00 - 07.11.2019 07:30","N/A","447"
"07.11.2019 07:30 - 07.11.2019 08:00","N/A","454"
"07.11.2019 08:00 - 07.11.2019 08:30","N/A","457"
"07.11.2019 08:30 - 07.11.2019 09:00","N/A","457"
"07.11.2019 09:00 - 07.11.2019 09:30","N/A","460"
"07.11.2019 09:30 - 07.11.2019 10:00","N/A","465"
"07.11.2019 10:00 - 07.11.2019 10:30","N/A","467"
"07.11.2019 10:30 - 07.11.2019 11:00","N/A","469"
"07.11.2019 11:00 - 07.11.2019 11:30","N/A","473"
"07.11.2019 11:30 - 07.11.2019 12:00","N/A","475"
"07.11.2019 12:00 - 07.11.2019 12:30","N/A","483"
"07.11.2019 12:30 - 07.11.2019 13:00","N/A","479"
"07.11.2019 13:00 - 07.11.2019 13:30","N/A","482"
"07.11.2019 13:30 - 07.11.2019 14:00","N/A","492"
"07.11.2019 14:00 - 07.11.2019 14:30","N/A","492"
"07.11.2019 14:30 - 07.11.2019 15:00","N/A","501"
"07.11.2019 15:00 - 07.11.2019 15:30","N/A","506"
"07.11.2019 15:30 - 07.11.2019 16:00","N/A","515"
"07.11.2019 16:00 - 07.11.2019 16:30","N/A","537"
"07.11.2019 16:30 - 07.11.2019 17:00","N/A","563"
"07.11.2019 17:00 - 07.11.2019 17:30","N/A","563"
"07.11.2019 17:30 - 07.11.2019 18:00","N/A","557"
"07.11.2019 18:00 - 07.11.2019 18:30","N/A","545"
"07.11.2019 18:30 - 07.11.2019 19:00","N/A","530"
"07.11.2019 19:00 - 07.11.2019 19:30","N/A","519"
"07.11.2019 19:30 - 07.11.2019 20:00","N/A","501"
"07.11.2019 20:00 - 07.11.2019 20:30","N/A","477"
"07.11.2019 20:30 - 07.11.2019 21:00","N/A","457"
"07.11.2019 21:00 - 07.11.2019 21:30","N/A","433"
"07.11.2019 21:30 - 07.11.2019 22:00","N/A","413"
"07.11.2019 22:00 - 07.11.2019 22:30","N/A","387"
"07.11.2019 22:30 - 07.11.2019 23:00","N/A","367"
"07.11.2019 23:00 - 07.11.2019 23:30","N/A","349"
"07.11.2019 23:30 - 08.11.2019 00:00","N/A","332"
"08.11.2019 00:00 - 08.11.2019 00:30","N/A","324"
"08.11.2019 00:30 - 08.11.2019 01:00","N/A","317"
"08.11.2019 01:00 - 08.11.2019 01:30","N/A","309"
"08.11.2019 01:30 - 08.11.2019 02:00","N/A","307"
"08.11.2019 02:00 - 08.11.2019 02:30","N/A","303"
"08.11.2019 02:30 - 08.11.2019 03:00","N/A","301"
"08.11.2019 03:00 - 08.11.2019 03:30","N/A","302"
"08.11.2019 03:30 - 08.11.2019 04:00","N/A","307"
"08.11.2019 04:00 - 08.11.2019 04:30","N/A","314"
"08.11.2019 04:30 - 08.11.2019 05:00","N/A","332"
"08.11.2019 05:00 - 08.11.2019 05:30","N/A","346"
"08.11.2019 05:30 - 08.11.2019 06:00","N/A","384"
"08.11.2019 06:00 - 08.11.2019 06:30","N/A","410"
"08.11.2019 06:30 - 08.11.2019 07:00","N/A","430"
"08.11.2019 07:00 - 08.11.2019 07:30","N/A","442"
"08.11.2019 07:30 - 08.11.2019 08:00","N/A","452"
"08.11.2019 08:00 - 08.11.2019 08:30","N/A","457"
"08.11.2019 08:30 - 08.11.2019 09:00","N/A","456"
"08.11.2019 09:00 - 08.11.2019 09:30","N/A","454"
"08.11.2019 09:30 - 08.11.2019 10:00","N/A","455"
"08.11.2019 10:00 - 08.11.2019 10:30","N/A","456"
"08.11.2019 10:30 - 08.11.2019 11:00","N/A","464"
"08.11.2019 11:00 - 08.11.2019 11:30","N/A","467"
"08.11.2019 11:30 - 08.11.2019 12:00","N/A","471"
"08.11.2019 12:00 - 08.11.2019 12:30","N/A","474"
"08.11.2019 12:30 - 08.11.2019 13:00","N/A","474"
"08.11.2019 13:00 - 08.11.2019 13:30","N/A","476"
"08.11.2019 13:30 - 08.11.2019 14:00","N/A","487"
"08.11.2019 14:00 - 08.11.2019 14:30","N/A","490"
"08.11.2019 14:30 - 08.11.2019 15:00","N/A","494"
"08.11.2019 15:00 - 08.11.2019 15:30","N/A","501"
"08.11.2019 15:30 - 08.11.2019 16:00","N/A","506"
"08.11.2019 16:00 - 08.11.2019 16:30","N/A","532"
"08.11.2019 16:30 - 08.11.2019 17:00","N/A","568"
"08.11.2019 17:00 - 08.11.2019 17:30","N/A","567"
"08.11.2019 17:30 - 08.11.2019 18:00","N/A","558"
"08.11.2019 18:00 - 08.11.2019 18:30","N/A","547"
"08.11.2019 18:30 - 08.11.2019 19:00","N/A","533"
"08.11.2019 19:00 - 08.11.2019 19:30","N/A","520"
"08.11.2019 19:30 - 08.11.2019 20:00","N/A","500"
"08.11.2019 20:00 - 08.11.2019 20:30","N/A","478"
"08.11.2019 20:30 - 08.11.2019 21:00","N/A","459"
"08.11.2019 21:00 - 08.11.2019 21:30","N/A","437"
"08.11.2019 21:30 - 08.11.2019 22:00","N/A","419"
"08.11.2019 22:00 - 08.11.2019 22:30","N/A","398"
"08.11.2019 22:30 - 08.11.2019 23:00","N/A","382"
"08.11.2019 23:00 - 08.11.2019 23:30","N/A","366"
"08.11.2019 23:30 - 09.11.2019 00:00","N/A","348"
"09.11.2019 00:00 - 09.11.2019 00:30","N/A","339"
"09.11.2019 00:30 - 09.11.2019 01:00","N/A","319"
"09.11.2019 01:00 - 09.11.2019 01:30","N/A","312"
"09.11.2019 01:30 - 09.11.2019 02:00","N/A","307"
"09.11.2019 02:00 - 09.11.2019 02:30","N/A","306"
"09.11.2019 02:30 - 09.11.2019 03:00","N/A","304"
"09.11.2019 03:00 - 09.11.2019 03:30","N/A","306"
"09.11.2019 03:30 - 09.11.2019 04:00","N/A","311"
"09.11.2019 04:00 - 09.11.2019 04:30","N/A","317"
"09.11.2019 04:30 - 09.11.2019 05:00","N/A","328"
"09.11.2019 05:00 - 09.11.2019 05:30","N/A","326"
"09.11.2019 05:30 - 09.11.2019 06:00","N/A","340"
"09.11.2019 06:00 - 09.11.2019 06:30","N/A","355"
"09.11.2019 06:30 - 09.11.2019 07:00","N/A","378"
"09.11.2019 07:00 - 09.11.2019 07:30","N/A","393"
"09.11.2019 07:30 - 09.11.2019 08:00","N/A","406"
"09.11.2019 08:00 - 09.11.2019 08:30","N/A","411"
"09.11.2019 08:30 - 09.11.2019 09:00","N/A","419"
"09.11.2019 09:00 - 09.11.2019 09:30","N/A","417"
"09.11.2019 09:30 - 09.11.2019 10:00","N/A","413"
"09.11.2019 10:00 - 09.11.2019 10:30","N/A","418"
"09.11.2019 10:30 - 09.11.2019 11:00","N/A","418"
"09.11.2019 11:00 - 09.11.2019 11:30","N/A","423"
"09.11.2019 11:30 - 09.11.2019 12:00","N/A","424"
"09.11.2019 12:00 - 09.11.2019 12:30","N/A","427"
"09.11.2019 12:30 - 09.11.2019 13:00","N/A","428"
"09.11.2019 13:00 - 09.11.2019 13:30","N/A","424"
"09.11.2019 13:30 - 09.11.2019 14:00","N/A","427"
"09.11.2019 14:00 - 09.11.2019 14:30","N/A","431"
"09.11.2019 14:30 - 09.11.2019 15:00","N/A","442"
"09.11.2019 15:00 - 09.11.2019 15:30","N/A","454"
"09.11.2019 15:30 - 09.11.2019 16:00","N/A","467"
"09.11.2019 16:00 - 09.11.2019 16:30","N/A","487"
"09.11.2019 16:30 - 09.11.2019 17:00","N/A","524"
"09.11.2019 17:00 - 09.11.2019 17:30","N/A","524"
"09.11.2019 17:30 - 09.11.2019 18:00","N/A","518"
"09.11.2019 18:00 - 09.11.2019 18:30","N/A","512"
"09.11.2019 18:30 - 09.11.2019 19:00","N/A","503"
"09.11.2019 19:00 - 09.11.2019 19:30","N/A","490"
