"Time (CET)","Day-ahead Total Load Forecast [MW] - Luxembourg (LU)","Actual Total Load [MW] - Luxembourg (LU)"
"14.09.2019 02:45 - 14.09.2019 03:00","395","379"
"14.09.2019 03:00 - 14.09.2019 03:15","396","379"
"14.09.2019 03:15 - 14.09.2019 03:30","392","379"
"14.09.2019 03:30 - 14.09.2019 03:45","391","377"
"14.09.2019 03:45 - 14.09.2019 04:00","390","371"
"14.09.2019 04:00 - 14.09.2019 04:15","388","363"
"14.09.2019 04:15 - 14.09.2019 04:30","388","361"
"14.09.2019 04:30 - 14.09.2019 04:45","386","359"
"14.09.2019 04:45 - 14.09.2019 05:00","388","362"
"14.09.2019 05:00 - 14.09.2019 05:15","391","368"
"14.09.2019 05:15 - 14.09.2019 05:30","393","375"
"14.09.2019 05:30 - 14.09.2019 05:45","396","379"
"14.09.2019 05:45 - 14.09.2019 06:00","397","375"
"14.09.2019 06:00 - 14.09.2019 06:15","403","380"
"14.09.2019 06:15 - 14.09.2019 06:30","394","377"
"14.09.2019 06:30 - 14.09.2019 06:45","390","373"
"14.09.2019 06:45 - 14.09.2019 07:00","388","373"
"14.09.2019 07:00 - 14.09.2019 07:15","390","382"
"14.09.2019 07:15 - 14.09.2019 07:30","396","382"
"14.09.2019 07:30 - 14.09.2019 07:45","400","384"
"14.09.2019 07:45 - 14.09.2019 08:00","401","383"
"14.09.2019 08:00 - 14.09.2019 08:15","409","390"
"14.09.2019 08:15 - 14.09.2019 08:30","422","399"
"14.09.2019 08:30 - 14.09.2019 08:45","427","399"
"14.09.2019 08:45 - 14.09.2019 09:00","428","407"
"14.09.2019 09:00 - 14.09.2019 09:15","435","414"
"14.09.2019 09:15 - 14.09.2019 09:30","446","415"
"14.09.2019 09:30 - 14.09.2019 09:45","446","420"
"14.09.2019 09:45 - 14.09.2019 10:00","445","424"
"14.09.2019 10:00 - 14.09.2019 10:15","450","436"
"14.09.2019 10:15 - 14.09.2019 10:30","453","433"
"14.09.2019 10:30 - 14.09.2019 10:45","458","437"
"14.09.2019 10:45 - 14.09.2019 11:00","456","439"
"14.09.2019 11:00 - 14.09.2019 11:15","459","446"
"14.09.2019 11:15 - 14.09.2019 11:30","454","453"
"14.09.2019 11:30 - 14.09.2019 11:45","462","456"
"14.09.2019 11:45 - 14.09.2019 12:00","468","459"
"14.09.2019 12:00 - 14.09.2019 12:15","474","465"
"14.09.2019 12:15 - 14.09.2019 12:30","472","460"
"14.09.2019 12:30 - 14.09.2019 12:45","481","454"
"14.09.2019 12:45 - 14.09.2019 13:00","478","451"
"14.09.2019 13:00 - 14.09.2019 13:15","473","443"
"14.09.2019 13:15 - 14.09.2019 13:30","465","437"
"14.09.2019 13:30 - 14.09.2019 13:45","462","436"
"14.09.2019 13:45 - 14.09.2019 14:00","453","433"
"14.09.2019 14:00 - 14.09.2019 14:15","448","432"
"14.09.2019 14:15 - 14.09.2019 14:30","445","435"
"14.09.2019 14:30 - 14.09.2019 14:45","441","438"
"14.09.2019 14:45 - 14.09.2019 15:00","437","429"
"14.09.2019 15:00 - 14.09.2019 15:15","437","426"
"14.09.2019 15:15 - 14.09.2019 15:30","443","425"
"14.09.2019 15:30 - 14.09.2019 15:45","447","432"
"14.09.2019 15:45 - 14.09.2019 16:00","449","430"
"14.09.2019 16:00 - 14.09.2019 16:15","453","436"
"14.09.2019 16:15 - 14.09.2019 16:30","447","436"
"14.09.2019 16:30 - 14.09.2019 16:45","448","442"
"14.09.2019 16:45 - 14.09.2019 17:00","445","439"
"14.09.2019 17:00 - 14.09.2019 17:15","449","445"
"14.09.2019 17:15 - 14.09.2019 17:30","446","449"
"14.09.2019 17:30 - 14.09.2019 17:45","450","457"
"14.09.2019 17:45 - 14.09.2019 18:00","457","462"
"14.09.2019 18:00 - 14.09.2019 18:15","466","468"
"14.09.2019 18:15 - 14.09.2019 18:30","467","473"
"14.09.2019 18:30 - 14.09.2019 18:45","472","479"
"14.09.2019 18:45 - 14.09.2019 19:00","475","480"
"14.09.2019 19:00 - 14.09.2019 19:15","478","488"
"14.09.2019 19:15 - 14.09.2019 19:30","484","490"
"14.09.2019 19:30 - 14.09.2019 19:45","486","486"
"14.09.2019 19:45 - 14.09.2019 20:00","482","489"
"14.09.2019 20:00 - 14.09.2019 20:15","483","489"
"14.09.2019 20:15 - 14.09.2019 20:30","481","493"
"14.09.2019 20:30 - 14.09.2019 20:45","487","491"
"14.09.2019 20:45 - 14.09.2019 21:00","492","485"
"14.09.2019 21:00 - 14.09.2019 21:15","493","480"
"14.09.2019 21:15 - 14.09.2019 21:30","485","471"
"14.09.2019 21:30 - 14.09.2019 21:45","479","461"
"14.09.2019 21:45 - 14.09.2019 22:00","474","448"
"14.09.2019 22:00 - 14.09.2019 22:15","471","445"
"14.09.2019 22:15 - 14.09.2019 22:30","478","452"
"14.09.2019 22:30 - 14.09.2019 22:45","477","447"
"14.09.2019 22:45 - 14.09.2019 23:00","470","441"
"14.09.2019 23:00 - 14.09.2019 23:15","465","438"
"14.09.2019 23:15 - 14.09.2019 23:30","454","429"
"14.09.2019 23:30 - 14.09.2019 23:45","451","423"
"14.09.2019 23:45 - 15.09.2019 00:00","444","416"
"15.09.2019 00:00 - 15.09.2019 00:15","438","412"
"15.09.2019 00:15 - 15.09.2019 00:30","428","408"
"15.09.2019 00:30 - 15.09.2019 00:45","420","402"
"15.09.2019 00:45 - 15.09.2019 01:00","411","393"
"15.09.2019 01:00 - 15.09.2019 01:15","405","390"
"15.09.2019 01:15 - 15.09.2019 01:30","402","383"
"15.09.2019 01:30 - 15.09.2019 01:45","400","380"
"15.09.2019 01:45 - 15.09.2019 02:00","398","378"
"15.09.2019 02:00 - 15.09.2019 02:15","394","380"
"15.09.2019 02:15 - 15.09.2019 02:30","393","376"
"15.09.2019 02:30 - 15.09.2019 02:45","391","374"
"15.09.2019 02:45 - 15.09.2019 03:00","389","374"
"15.09.2019 03:00 - 15.09.2019 03:15","386","374"
"15.09.2019 03:15 - 15.09.2019 03:30","387","372"
"15.09.2019 03:30 - 15.09.2019 03:45","387","375"
"15.09.2019 03:45 - 15.09.2019 04:00","386","375"
"15.09.2019 04:00 - 15.09.2019 04:15","385","378"
"15.09.2019 04:15 - 15.09.2019 04:30","385","376"
"15.09.2019 04:30 - 15.09.2019 04:45","386","378"
"15.09.2019 04:45 - 15.09.2019 05:00","387","377"
"15.09.2019 05:00 - 15.09.2019 05:15","388","379"
"15.09.2019 05:15 - 15.09.2019 05:30","390","384"
"15.09.2019 05:30 - 15.09.2019 05:45","391","386"
"15.09.2019 05:45 - 15.09.2019 06:00","392","387"
"15.09.2019 06:00 - 15.09.2019 06:15","395","384"
"15.09.2019 06:15 - 15.09.2019 06:30","388","373"
"15.09.2019 06:30 - 15.09.2019 06:45","385","368"
"15.09.2019 06:45 - 15.09.2019 07:00","384","369"
"15.09.2019 07:00 - 15.09.2019 07:15","383","373"
"15.09.2019 07:15 - 15.09.2019 07:30","380","367"
"15.09.2019 07:30 - 15.09.2019 07:45","379","363"
"15.09.2019 07:45 - 15.09.2019 08:00","381","362"
"15.09.2019 08:00 - 15.09.2019 08:15","385","372"
"15.09.2019 08:15 - 15.09.2019 08:30","391","380"
"15.09.2019 08:30 - 15.09.2019 08:45","394","382"
"15.09.2019 08:45 - 15.09.2019 09:00","396","383"
"15.09.2019 09:00 - 15.09.2019 09:15","401","388"
"15.09.2019 09:15 - 15.09.2019 09:30","405","393"
"15.09.2019 09:30 - 15.09.2019 09:45","409","396"
"15.09.2019 09:45 - 15.09.2019 10:00","412","400"
"15.09.2019 10:00 - 15.09.2019 10:15","416","403"
"15.09.2019 10:15 - 15.09.2019 10:30","419","405"
"15.09.2019 10:30 - 15.09.2019 10:45","420","414"
"15.09.2019 10:45 - 15.09.2019 11:00","422","413"
"15.09.2019 11:00 - 15.09.2019 11:15","426","427"
"15.09.2019 11:15 - 15.09.2019 11:30","422","418"
"15.09.2019 11:30 - 15.09.2019 11:45","427","428"
"15.09.2019 11:45 - 15.09.2019 12:00","429","429"
"15.09.2019 12:00 - 15.09.2019 12:15","433","431"
"15.09.2019 12:15 - 15.09.2019 12:30","431","428"
"15.09.2019 12:30 - 15.09.2019 12:45","429","428"
"15.09.2019 12:45 - 15.09.2019 13:00","421","419"
"15.09.2019 13:00 - 15.09.2019 13:15","419","419"
"15.09.2019 13:15 - 15.09.2019 13:30","411","412"
"15.09.2019 13:30 - 15.09.2019 13:45","409","404"
"15.09.2019 13:45 - 15.09.2019 14:00","405","396"
"15.09.2019 14:00 - 15.09.2019 14:15","402","392"
"15.09.2019 14:15 - 15.09.2019 14:30","394","391"
"15.09.2019 14:30 - 15.09.2019 14:45","394","394"
"15.09.2019 14:45 - 15.09.2019 15:00","391","392"
"15.09.2019 15:00 - 15.09.2019 15:15","389","389"
"15.09.2019 15:15 - 15.09.2019 15:30","386","385"
"15.09.2019 15:30 - 15.09.2019 15:45","384","384"
"15.09.2019 15:45 - 15.09.2019 16:00","381","382"
"15.09.2019 16:00 - 15.09.2019 16:15","382","383"
"15.09.2019 16:15 - 15.09.2019 16:30","388","385"
"15.09.2019 16:30 - 15.09.2019 16:45","389","386"
"15.09.2019 16:45 - 15.09.2019 17:00","388","386"
"15.09.2019 17:00 - 15.09.2019 17:15","392","395"
"15.09.2019 17:15 - 15.09.2019 17:30","399","397"
"15.09.2019 17:30 - 15.09.2019 17:45","406","407"
"15.09.2019 17:45 - 15.09.2019 18:00","413","412"
"15.09.2019 18:00 - 15.09.2019 18:15","421","419"
"15.09.2019 18:15 - 15.09.2019 18:30","431","428"
"15.09.2019 18:30 - 15.09.2019 18:45","436","436"
"15.09.2019 18:45 - 15.09.2019 19:00","440","437"
"15.09.2019 19:00 - 15.09.2019 19:15","446","446"
"15.09.2019 19:15 - 15.09.2019 19:30","454","449"
"15.09.2019 19:30 - 15.09.2019 19:45","459","452"
"15.09.2019 19:45 - 15.09.2019 20:00","460","454"
"15.09.2019 20:00 - 15.09.2019 20:15","465","462"
"15.09.2019 20:15 - 15.09.2019 20:30","472","477"
"15.09.2019 20:30 - 15.09.2019 20:45","477","481"
"15.09.2019 20:45 - 15.09.2019 21:00","477","473"
"15.09.2019 21:00 - 15.09.2019 21:15","476","462"
"15.09.2019 21:15 - 15.09.2019 21:30","470","455"
"15.09.2019 21:30 - 15.09.2019 21:45","465","452"
"15.09.2019 21:45 - 15.09.2019 22:00","457","444"
"15.09.2019 22:00 - 15.09.2019 22:15","452","441"
"15.09.2019 22:15 - 15.09.2019 22:30","461","443"
"15.09.2019 22:30 - 15.09.2019 22:45","460","438"
"15.09.2019 22:45 - 15.09.2019 23:00","454","432"
"15.09.2019 23:00 - 15.09.2019 23:15","448","424"
"15.09.2019 23:15 - 15.09.2019 23:30","439","417"
"15.09.2019 23:30 - 15.09.2019 23:45","433","412"
"15.09.2019 23:45 - 16.09.2019 00:00","426","401"
"16.09.2019 00:00 - 16.09.2019 00:15","421","396"
"16.09.2019 00:15 - 16.09.2019 00:30","460","443"
"16.09.2019 00:30 - 16.09.2019 00:45","455","438"
"16.09.2019 00:45 - 16.09.2019 01:00","449","433"
"16.09.2019 01:00 - 16.09.2019 01:15","438","425"
"16.09.2019 01:15 - 16.09.2019 01:30","432","418"
"16.09.2019 01:30 - 16.09.2019 01:45","425","413"
"16.09.2019 01:45 - 16.09.2019 02:00","420","402"
"16.09.2019 02:00 - 16.09.2019 02:15","410","397"
"16.09.2019 02:15 - 16.09.2019 02:30","407","391"
"16.09.2019 02:30 - 16.09.2019 02:45","398","387"
"16.09.2019 02:45 - 16.09.2019 03:00","393","381"
"16.09.2019 03:00 - 16.09.2019 03:15","393","377"
"16.09.2019 03:15 - 16.09.2019 03:30","391","372"
"16.09.2019 03:30 - 16.09.2019 03:45","389","368"
"16.09.2019 03:45 - 16.09.2019 04:00","390","371"
"16.09.2019 04:00 - 16.09.2019 04:15","392","370"
"16.09.2019 04:15 - 16.09.2019 04:30","391","372"
"16.09.2019 04:30 - 16.09.2019 04:45","390","376"
"16.09.2019 04:45 - 16.09.2019 05:00","390","380"
"16.09.2019 05:00 - 16.09.2019 05:15","394","381"
"16.09.2019 05:15 - 16.09.2019 05:30","395","381"
"16.09.2019 05:30 - 16.09.2019 05:45","396","378"
"16.09.2019 05:45 - 16.09.2019 06:00","394","375"
"16.09.2019 06:00 - 16.09.2019 06:15","400","377"
"16.09.2019 06:15 - 16.09.2019 06:30","401","383"
"16.09.2019 06:30 - 16.09.2019 06:45","408","388"
"16.09.2019 06:45 - 16.09.2019 07:00","416","390"
"16.09.2019 07:00 - 16.09.2019 07:15","423","398"
"16.09.2019 07:15 - 16.09.2019 07:30","435","410"
"16.09.2019 07:30 - 16.09.2019 07:45","444","424"
"16.09.2019 07:45 - 16.09.2019 08:00","455","432"
"16.09.2019 08:00 - 16.09.2019 08:15","468","442"
"16.09.2019 08:15 - 16.09.2019 08:30","478","449"
"16.09.2019 08:30 - 16.09.2019 08:45","488","462"
"16.09.2019 08:45 - 16.09.2019 09:00","500","476"
"16.09.2019 09:00 - 16.09.2019 09:15","512","499"
"16.09.2019 09:15 - 16.09.2019 09:30","520","515"
"16.09.2019 09:30 - 16.09.2019 09:45","533","525"
"16.09.2019 09:45 - 16.09.2019 10:00","543","535"
"16.09.2019 10:00 - 16.09.2019 10:15","554","536"
"16.09.2019 10:15 - 16.09.2019 10:30","558","552"
"16.09.2019 10:30 - 16.09.2019 10:45","560","557"
"16.09.2019 10:45 - 16.09.2019 11:00","565","568"
"16.09.2019 11:00 - 16.09.2019 11:15","569","577"
"16.09.2019 11:15 - 16.09.2019 11:30","573","580"
"16.09.2019 11:30 - 16.09.2019 11:45","579","585"
"16.09.2019 11:45 - 16.09.2019 12:00","583","577"
"16.09.2019 12:00 - 16.09.2019 12:15","588","576"
"16.09.2019 12:15 - 16.09.2019 12:30","589","575"
"16.09.2019 12:30 - 16.09.2019 12:45","590","579"
"16.09.2019 12:45 - 16.09.2019 13:00","596","578"
"16.09.2019 13:00 - 16.09.2019 13:15","594","581"
"16.09.2019 13:15 - 16.09.2019 13:30","601","584"
"16.09.2019 13:30 - 16.09.2019 13:45","607","585"
"16.09.2019 13:45 - 16.09.2019 14:00","607","601"
"16.09.2019 14:00 - 16.09.2019 14:15","603","607"
"16.09.2019 14:15 - 16.09.2019 14:30","597","596"
"16.09.2019 14:30 - 16.09.2019 14:45","595","588"
"16.09.2019 14:45 - 16.09.2019 15:00","591","585"
"16.09.2019 15:00 - 16.09.2019 15:15","581","587"
"16.09.2019 15:15 - 16.09.2019 15:30","586","589"
"16.09.2019 15:30 - 16.09.2019 15:45","581","586"
"16.09.2019 15:45 - 16.09.2019 16:00","580","573"
"16.09.2019 16:00 - 16.09.2019 16:15","577","564"
"16.09.2019 16:15 - 16.09.2019 16:30","579","569"
"16.09.2019 16:30 - 16.09.2019 16:45","576","569"
"16.09.2019 16:45 - 16.09.2019 17:00","577","566"
"16.09.2019 17:00 - 16.09.2019 17:15","572","576"
"16.09.2019 17:15 - 16.09.2019 17:30","573","585"
"16.09.2019 17:30 - 16.09.2019 17:45","568","596"
"16.09.2019 17:45 - 16.09.2019 18:00","570","596"
"16.09.2019 18:00 - 16.09.2019 18:15","569","595"
"16.09.2019 18:15 - 16.09.2019 18:30","569","594"
"16.09.2019 18:30 - 16.09.2019 18:45","564","594"
"16.09.2019 18:45 - 16.09.2019 19:00","565","590"
"16.09.2019 19:00 - 16.09.2019 19:15","569","595"
"16.09.2019 19:15 - 16.09.2019 19:30","570","591"
"16.09.2019 19:30 - 16.09.2019 19:45","571","592"
"16.09.2019 19:45 - 16.09.2019 20:00","576","594"
"16.09.2019 20:00 - 16.09.2019 20:15","583","596"
"16.09.2019 20:15 - 16.09.2019 20:30","587","590"
"16.09.2019 20:30 - 16.09.2019 20:45","586","594"
"16.09.2019 20:45 - 16.09.2019 21:00","590","594"
"16.09.2019 21:00 - 16.09.2019 21:15","589","601"
"16.09.2019 21:15 - 16.09.2019 21:30","587","601"
"16.09.2019 21:30 - 16.09.2019 21:45","586","601"
"16.09.2019 21:45 - 16.09.2019 22:00","589","595"
"16.09.2019 22:00 - 16.09.2019 22:15","584","600"
"16.09.2019 22:15 - 16.09.2019 22:30","586","603"
"16.09.2019 22:30 - 16.09.2019 22:45","577","588"
"16.09.2019 22:45 - 16.09.2019 23:00","572","578"
"16.09.2019 23:00 - 16.09.2019 23:15","559","570"
"16.09.2019 23:15 - 16.09.2019 23:30","547","561"
"16.09.2019 23:30 - 16.09.2019 23:45","536","554"
"16.09.2019 23:45 - 17.09.2019 00:00","527","544"
"17.09.2019 00:00 - 17.09.2019 00:15","526","528"
"17.09.2019 00:15 - 17.09.2019 00:30","521","531"
"17.09.2019 00:30 - 17.09.2019 00:45","510","522"
"17.09.2019 00:45 - 17.09.2019 01:00","501","512"
"17.09.2019 01:00 - 17.09.2019 01:15","490","504"
"17.09.2019 01:15 - 17.09.2019 01:30","483","491"
"17.09.2019 01:30 - 17.09.2019 01:45","474","483"
"17.09.2019 01:45 - 17.09.2019 02:00","468","478"
"17.09.2019 02:00 - 17.09.2019 02:15","465","470"
"17.09.2019 02:15 - 17.09.2019 02:30","460","462"
"17.09.2019 02:30 - 17.09.2019 02:45","449","455"
"17.09.2019 02:45 - 17.09.2019 03:00","442","449"
"17.09.2019 03:00 - 17.09.2019 03:15","433","444"
"17.09.2019 03:15 - 17.09.2019 03:30","430","441"
"17.09.2019 03:30 - 17.09.2019 03:45","428","439"
"17.09.2019 03:45 - 17.09.2019 04:00","426","437"
"17.09.2019 04:00 - 17.09.2019 04:15","423","432"
"17.09.2019 04:15 - 17.09.2019 04:30","423","435"
"17.09.2019 04:30 - 17.09.2019 04:45","423","432"
"17.09.2019 04:45 - 17.09.2019 05:00","421","428"
"17.09.2019 05:00 - 17.09.2019 05:15","422","427"
"17.09.2019 05:15 - 17.09.2019 05:30","422","429"
"17.09.2019 05:30 - 17.09.2019 05:45","421","434"
"17.09.2019 05:45 - 17.09.2019 06:00","424","434"
"17.09.2019 06:00 - 17.09.2019 06:15","431","431"
"17.09.2019 06:15 - 17.09.2019 06:30","434","430"
"17.09.2019 06:30 - 17.09.2019 06:45","439","434"
"17.09.2019 06:45 - 17.09.2019 07:00","444","437"
"17.09.2019 07:00 - 17.09.2019 07:15","455","446"
"17.09.2019 07:15 - 17.09.2019 07:30","456","457"
"17.09.2019 07:30 - 17.09.2019 07:45","462","467"
"17.09.2019 07:45 - 17.09.2019 08:00","478","470"
"17.09.2019 08:00 - 17.09.2019 08:15","489","487"
"17.09.2019 08:15 - 17.09.2019 08:30","494","504"
"17.09.2019 08:30 - 17.09.2019 08:45","503","509"
"17.09.2019 08:45 - 17.09.2019 09:00","519","525"
"17.09.2019 09:00 - 17.09.2019 09:15","547","543"
"17.09.2019 09:15 - 17.09.2019 09:30","556","567"
"17.09.2019 09:30 - 17.09.2019 09:45","565","568"
"17.09.2019 09:45 - 17.09.2019 10:00","572","573"
"17.09.2019 10:00 - 17.09.2019 10:15","582","577"
"17.09.2019 10:15 - 17.09.2019 10:30","593","583"
"17.09.2019 10:30 - 17.09.2019 10:45","595","597"
"17.09.2019 10:45 - 17.09.2019 11:00","595","601"
"17.09.2019 11:00 - 17.09.2019 11:15","600","609"
"17.09.2019 11:15 - 17.09.2019 11:30","601","608"
"17.09.2019 11:30 - 17.09.2019 11:45","602","615"
"17.09.2019 11:45 - 17.09.2019 12:00","606","618"
"17.09.2019 12:00 - 17.09.2019 12:15","607","620"
"17.09.2019 12:15 - 17.09.2019 12:30","613","625"
"17.09.2019 12:30 - 17.09.2019 12:45","611","618"
"17.09.2019 12:45 - 17.09.2019 13:00","613","616"
"17.09.2019 13:00 - 17.09.2019 13:15","607","612"
"17.09.2019 13:15 - 17.09.2019 13:30","608","605"
"17.09.2019 13:30 - 17.09.2019 13:45","611","613"
"17.09.2019 13:45 - 17.09.2019 14:00","615","611"
"17.09.2019 14:00 - 17.09.2019 14:15","603","614"
"17.09.2019 14:15 - 17.09.2019 14:30","599","604"
"17.09.2019 14:30 - 17.09.2019 14:45","597","595"
"17.09.2019 14:45 - 17.09.2019 15:00","599","580"
"17.09.2019 15:00 - 17.09.2019 15:15","588","577"
"17.09.2019 15:15 - 17.09.2019 15:30","585","572"
"17.09.2019 15:30 - 17.09.2019 15:45","583","574"
"17.09.2019 15:45 - 17.09.2019 16:00","580","565"
"17.09.2019 16:00 - 17.09.2019 16:15","576","564"
"17.09.2019 16:15 - 17.09.2019 16:30","577","562"
"17.09.2019 16:30 - 17.09.2019 16:45","572","562"
"17.09.2019 16:45 - 17.09.2019 17:00","570","559"
"17.09.2019 17:00 - 17.09.2019 17:15","562","562"
"17.09.2019 17:15 - 17.09.2019 17:30","563","555"
"17.09.2019 17:30 - 17.09.2019 17:45","562","558"
"17.09.2019 17:45 - 17.09.2019 18:00","562","552"
"17.09.2019 18:00 - 17.09.2019 18:15","557","554"
"17.09.2019 18:15 - 17.09.2019 18:30","555","546"
"17.09.2019 18:30 - 17.09.2019 18:45","554","526"
"17.09.2019 18:45 - 17.09.2019 19:00","551","540"
"17.09.2019 19:00 - 17.09.2019 19:15","554","549"
"17.09.2019 19:15 - 17.09.2019 19:30","556","552"
"17.09.2019 19:30 - 17.09.2019 19:45","562","564"
"17.09.2019 19:45 - 17.09.2019 20:00","563","561"
"17.09.2019 20:00 - 17.09.2019 20:15","568","573"
"17.09.2019 20:15 - 17.09.2019 20:30","574","579"
"17.09.2019 20:30 - 17.09.2019 20:45","576","586"
"17.09.2019 20:45 - 17.09.2019 21:00","574","593"
"17.09.2019 21:00 - 17.09.2019 21:15","577","606"
"17.09.2019 21:15 - 17.09.2019 21:30","572","604"
"17.09.2019 21:30 - 17.09.2019 21:45","571","610"
"17.09.2019 21:45 - 17.09.2019 22:00","572","602"
"17.09.2019 22:00 - 17.09.2019 22:15","575","600"
"17.09.2019 22:15 - 17.09.2019 22:30","575","596"
"17.09.2019 22:30 - 17.09.2019 22:45","565","575"
"17.09.2019 22:45 - 17.09.2019 23:00","558","560"
"17.09.2019 23:00 - 17.09.2019 23:15","541","546"
"17.09.2019 23:15 - 17.09.2019 23:30","531","535"
"17.09.2019 23:30 - 17.09.2019 23:45","522","525"
"17.09.2019 23:45 - 18.09.2019 00:00","513","518"
"18.09.2019 00:00 - 18.09.2019 00:15","513","505"
"18.09.2019 00:15 - 18.09.2019 00:30","511","508"
"18.09.2019 00:30 - 18.09.2019 00:45","500","507"
"18.09.2019 00:45 - 18.09.2019 01:00","489","488"
"18.09.2019 01:00 - 18.09.2019 01:15","478","474"
"18.09.2019 01:15 - 18.09.2019 01:30","472","467"
"18.09.2019 01:30 - 18.09.2019 01:45","462","454"
"18.09.2019 01:45 - 18.09.2019 02:00","453","445"
"18.09.2019 02:00 - 18.09.2019 02:15","453","444"
"18.09.2019 02:15 - 18.09.2019 02:30","447","439"
"18.09.2019 02:30 - 18.09.2019 02:45","441","426"
"18.09.2019 02:45 - 18.09.2019 03:00","434","418"
"18.09.2019 03:00 - 18.09.2019 03:15","428","413"
"18.09.2019 03:15 - 18.09.2019 03:30","423","409"
"18.09.2019 03:30 - 18.09.2019 03:45","422","405"
"18.09.2019 03:45 - 18.09.2019 04:00","421","399"
"18.09.2019 04:00 - 18.09.2019 04:15","421","404"
"18.09.2019 04:15 - 18.09.2019 04:30","420","412"
"18.09.2019 04:30 - 18.09.2019 04:45","420","413"
"18.09.2019 04:45 - 18.09.2019 05:00","419","403"
"18.09.2019 05:00 - 18.09.2019 05:15","421","399"
"18.09.2019 05:15 - 18.09.2019 05:30","419","393"
"18.09.2019 05:30 - 18.09.2019 05:45","418","390"
"18.09.2019 05:45 - 18.09.2019 06:00","422","390"
"18.09.2019 06:00 - 18.09.2019 06:15","429","395"
"18.09.2019 06:15 - 18.09.2019 06:30","433","405"
"18.09.2019 06:30 - 18.09.2019 06:45","435","411"
"18.09.2019 06:45 - 18.09.2019 07:00","441","415"
"18.09.2019 07:00 - 18.09.2019 07:15","454","425"
"18.09.2019 07:15 - 18.09.2019 07:30","462","431"
"18.09.2019 07:30 - 18.09.2019 07:45","464","439"
"18.09.2019 07:45 - 18.09.2019 08:00","479","445"
"18.09.2019 08:00 - 18.09.2019 08:15","485","464"
"18.09.2019 08:15 - 18.09.2019 08:30","489","474"
"18.09.2019 08:30 - 18.09.2019 08:45","505","474"
"18.09.2019 08:45 - 18.09.2019 09:00","521","486"
"18.09.2019 09:00 - 18.09.2019 09:15","537","506"
"18.09.2019 09:15 - 18.09.2019 09:30","544","523"
"18.09.2019 09:30 - 18.09.2019 09:45","555","534"
"18.09.2019 09:45 - 18.09.2019 10:00","568","545"
"18.09.2019 10:00 - 18.09.2019 10:15","577","547"
"18.09.2019 10:15 - 18.09.2019 10:30","586","550"
"18.09.2019 10:30 - 18.09.2019 10:45","590","555"
"18.09.2019 10:45 - 18.09.2019 11:00","594","563"
"18.09.2019 11:00 - 18.09.2019 11:15","596","565"
"18.09.2019 11:15 - 18.09.2019 11:30","602","569"
"18.09.2019 11:30 - 18.09.2019 11:45","600","575"
"18.09.2019 11:45 - 18.09.2019 12:00","605","572"
"18.09.2019 12:00 - 18.09.2019 12:15","598","572"
"18.09.2019 12:15 - 18.09.2019 12:30","600","578"
"18.09.2019 12:30 - 18.09.2019 12:45","603","575"
"18.09.2019 12:45 - 18.09.2019 13:00","606","576"
"18.09.2019 13:00 - 18.09.2019 13:15","602","572"
"18.09.2019 13:15 - 18.09.2019 13:30","605","582"
"18.09.2019 13:30 - 18.09.2019 13:45","610","582"
"18.09.2019 13:45 - 18.09.2019 14:00","618","586"
"18.09.2019 14:00 - 18.09.2019 14:15","606","589"
"18.09.2019 14:15 - 18.09.2019 14:30","594","582"
"18.09.2019 14:30 - 18.09.2019 14:45","591","572"
"18.09.2019 14:45 - 18.09.2019 15:00","594","567"
"18.09.2019 15:00 - 18.09.2019 15:15","589","561"
"18.09.2019 15:15 - 18.09.2019 15:30","587","556"
"18.09.2019 15:30 - 18.09.2019 15:45","581","555"
"18.09.2019 15:45 - 18.09.2019 16:00","580","555"
"18.09.2019 16:00 - 18.09.2019 16:15","583","554"
"18.09.2019 16:15 - 18.09.2019 16:30","579","548"
"18.09.2019 16:30 - 18.09.2019 16:45","573","553"
"18.09.2019 16:45 - 18.09.2019 17:00","571","549"
"18.09.2019 17:00 - 18.09.2019 17:15","579","544"
"18.09.2019 17:15 - 18.09.2019 17:30","574","541"
"18.09.2019 17:30 - 18.09.2019 17:45","572","549"
"18.09.2019 17:45 - 18.09.2019 18:00","567","545"
"18.09.2019 18:00 - 18.09.2019 18:15","571","548"
"18.09.2019 18:15 - 18.09.2019 18:30","572","543"
"18.09.2019 18:30 - 18.09.2019 18:45","575","545"
"18.09.2019 18:45 - 18.09.2019 19:00","575","547"
"18.09.2019 19:00 - 18.09.2019 19:15","575","554"
"18.09.2019 19:15 - 18.09.2019 19:30","575","558"
"18.09.2019 19:30 - 18.09.2019 19:45","577","565"
"18.09.2019 19:45 - 18.09.2019 20:00","580","566"
"18.09.2019 20:00 - 18.09.2019 20:15","580","572"
"18.09.2019 20:15 - 18.09.2019 20:30","586","573"
"18.09.2019 20:30 - 18.09.2019 20:45","584","580"
"18.09.2019 20:45 - 18.09.2019 21:00","588","583"
"18.09.2019 21:00 - 18.09.2019 21:15","586","588"
"18.09.2019 21:15 - 18.09.2019 21:30","584","594"
"18.09.2019 21:30 - 18.09.2019 21:45","582","593"
"18.09.2019 21:45 - 18.09.2019 22:00","584","591"
"18.09.2019 22:00 - 18.09.2019 22:15","586","589"
"18.09.2019 22:15 - 18.09.2019 22:30","591","590"
"18.09.2019 22:30 - 18.09.2019 22:45","586","587"
